yearID,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards,bbrefID
1901,29,BRO,NL,136,637,21,-2,0,-2,-7,11,1.0,19,30,3.1,.508,.507,3.5,-1.0,32,"$3,000",*95/4,,keelewi01
1902,30,BRO,NL,133,609,21,-1,0,6,-7,19,2.0,18,37,4.1,.516,.513,3.5,-0.2,31,,*9,,keelewi01
1903,31,NYY,AL,132,584,13,-1,0,-5,-7,0,-0.2,20,20,2.1,.500,.500,2.8,-1.4,25,"$10,000",*9/5,,keelewi01
1904,32,NYY,AL,143,612,30,-1,0,2,-8,23,2.6,21,44,5.0,.519,.517,4.9,-0.8,42,"$10,000",*9/H,,keelewi01
1905,33,NYY,AL,149,654,15,-2,0,-3,-7,3,0.2,22,25,2.7,.502,.502,3.1,-1.3,28,,*94/57,,keelewi01
1906,34,NYY,AL,152,674,8,-2,0,0,-8,-2,-0.2,23,21,2.3,.499,.499,2.2,-0.9,21,,*9,,keelewi01
1907,35,NYY,AL,107,470,-17,-1,0,-5,-6,-28,-3.4,16,-12,-1.8,.468,.479,-1.2,-1.3,-7,,*9,,keelewi01
1908,36,NYY,AL,91,377,3,-1,0,-3,-5,-5,-0.7,13,8,0.8,.493,.496,1.2,-1.0,11,,9/H7,,keelewi01
1909,37,NYY,AL,99,427,4,-1,0,-3,-5,-5,-0.8,15,9,0.8,.493,.496,1.3,-1.1,12,,9/H,,keelewi01
1910,38,NYG,NL,19,14,1,0,0,0,0,1,0.1,0,1,0.1,.503,.500,0.1,0.0,1,,H/87,,keelewi01
1891,19,BSN,NL,12,47,-3,0,0,0,-1,-4,-0.3,2,-2,-0.2,.474,.498,-0.2,-0.1,-2,,O,,kellejo01
1892,20,PIT,NL,56,222,-3,0,0,0,-3,-7,-0.7,8,1,0.1,.489,.496,0.2,-0.3,1,,O,,kellejo01
1892,20,BLN,NL,10,38,-2,0,0,-2,-1,-4,-0.4,1,-3,-0.3,.459,.497,-0.1,-0.2,-1,,O,,kellejo01
1893,21,BLN,NL,125,583,23,0,0,2,-7,18,1.3,20,37,3.3,.511,.509,3.2,-0.4,35,,*O,,kellejo01
1894,22,BLN,NL,129,638,67,0,0,7,-8,66,4.5,20,86,6.5,.536,.528,6.1,-0.1,79,,*O,,kellejo01
1895,23,BLN,NL,131,617,50,3,0,7,-8,51,3.9,20,72,5.9,.530,.524,5.4,-0.1,65,,*O,,kellejo01
1896,24,BLN,NL,131,627,58,7,0,6,-9,62,5.0,20,82,7.0,.538,.531,6.6,-0.3,76,,*O,,kellejo01
1897,25,BLN,NL,131,591,42,1,0,4,-8,39,3.1,20,59,5.1,.524,.520,4.9,-0.4,55,,*O/65,,kellejo01
1898,26,BLN,NL,124,530,23,-1,0,4,-6,20,1.9,18,38,3.8,.515,.512,3.5,-0.2,34,"$2,700",*O/5,,kellejo01
1899,27,BRO,NL,143,626,28,-1,0,8,-9,26,2.3,21,47,4.5,.517,.515,3.8,-0.1,39,,*O,,kellejo01
1900,28,BRO,NL,121,513,24,0,0,0,-5,19,1.7,18,37,3.5,.514,.511,3.5,-0.4,37,,O35,,kellejo01
1901,29,BRO,NL,120,541,16,-1,0,1,-3,14,1.3,17,31,3.2,.512,.509,3.2,-0.2,29,"$3,000",*3/5,,kellejo01
1902,30,BLA,AL,60,263,12,0,0,-6,-1,4,0.4,9,13,1.3,.507,.502,1.9,-0.7,19,,8/537,,kellejo01
1902,30,CIN,NL,40,172,7,0,0,1,-1,7,0.7,6,12,1.4,.519,.505,1.3,0.0,11,"$5,200",74/58H6,,kellejo01
1903,31,CIN,NL,105,456,14,-1,0,-2,-3,8,0.8,15,23,2.3,.508,.505,2.5,-0.4,25,,764/583H,,kellejo01
1904,32,CIN,NL,123,521,12,-1,0,0,-4,7,0.8,16,23,2.5,.506,.505,2.5,-0.4,23,"$5,250",*3/984,,kellejo01
1905,33,CIN,NL,90,372,0,-1,0,-4,-5,-10,-1.1,12,3,0.2,.488,.493,0.6,-0.9,6,,7/H39,,kellejo01
1906,34,CIN,NL,129,543,-4,-1,0,-4,-7,-16,-2.0,17,1,-0.2,.485,.488,0.5,-1.3,5,,*7/3H56,,kellejo01
1908,36,BSN,NL,73,262,5,0,0,-4,-3,-2,-0.3,9,7,0.7,.497,.499,1.2,-0.9,11,,78H3/9,,kellejo01
